#SimpleGazeTrackerDataFile
#TRACKER_VERSION,0.11.1
#DATAFORMAT,T,X,Y,P
#RECORDED_EYE,L
#SCREEN_ORIGIN,BottomLeft
#TRACKER_ORIGIN,BottomLeft
#SCREEN_WIDTH,1024
#SCREEN_HEIGHT,768
#DOTS_PER_CENTIMETER_H,24.26
#DOTS_PER_CENTIMETER_V,24.26
#VIEWING_DISTANCE,57.29577951308232
#SACCADE_VELOCITY_THRESHOLD,20.0
#SACCADE_ACCELERATION_THRESHOLD,3800.0
#SACCADE_MINIMUM_DURATION,12
#SACCADE_MINIMUM_AMPLITUDE,0.2
#FIXATION_MINIMUM_DURATION,12
#BLINK_MINIMUM_DURATION,50
#RESAMPLING,0
#FILTER_TYPE,identity
#FILTER_WN,0.2
#FILTER_SIZE,5
#FILTER_ORDER,3
#START_REC,2022,3,10,12,23,37
#MESSAGE,0,starting task
2415.057,45.8,-79.1,756.7
2428.191,28.8,-54.6,755.9
2440.945,78.7,-52.7,748.9
2454.410,103.4,-41.4,748.9
2467.602,96.3,-45.2,747.6
2480.495,92.0,-44.3,745.2
2493.501,81.3,-13.6,720.5
2506.143,81.5,-13.3,718.9
2519.293,65.7,-23.5,720.6
2533.060,58.6,-74.4,741.7
2546.929,48.3,-61.8,719.8
2560.374,44.6,-72.8,725.4
2574.277,47.4,-110.2,740.3
2588.110,39.1,-87.1,721.8
2602.431,45.6,-89.9,727.5
2616.191,46.6,-122.3,750.5
2630.217,57.3,-124.0,755.4
2643.977,88.3,-135.4,757.6
2658.856,193.7,-178.6,761.3
2673.803,-47.5,-70.4,756.3
2688.413,-141.9,-44.7,764.4
2703.439,-126.8,-47.4,766.3
2718.795,-124.7,-30.4,774.8
2733.738,-128.6,-4.2,780.1
2749.446,-123.9,-29.2,809.6
2764.395,-128.0,-28.1,815.1
2779.743,-130.3,-12.8,817.2
2794.810,-132.1,-4.0,824.7
2809.513,-140.5,-4.6,831.4
2824.921,-156.4,-14.5,835.4
2839.383,-152.7,-21.3,839.0
2853.610,MULTIPURKINJE,MULTIPURKINJE,FAIL
2868.584,-161.7,-24.0,843.1
