242.161,29.1,-7.9,702.1
247.808,33.1,-5.0,701.1
253.358,37.2,4.7,705.0
258.889,47.0,-4.5,706.1
264.438,41.9,-6.2,706.7
270.055,42.0,-10.8,707.5
275.489,37.4,-6.7,709.4
281.064,35.5,-8.1,709.4
286.685,34.6,-13.2,709.7
292.176,39.1,-8.9,713.9
297.814,32.3,-1.6,715.4
303.364,35.4,-5.6,716.4
308.901,28.8,-3.6,714.7
314.392,24.6,-4.3,716.4
320.014,23.0,-3.3,718.7
325.574,20.1,-0.8,719.2
331.121,21.9,-8.1,717.1
336.679,29.2,-5.5,720.4
342.265,29.2,8.7,720.4
347.796,32.7,3.9,722.0
353.392,37.5,-0.6,720.8
358.929,47.7,-1.1,722.5
364.513,45.2,0.3,724.0
370.070,47.8,-0.8,722.1
375.588,50.9,-1.2,721.7
381.149,52.2,-0.0,723.7
386.724,47.7,0.4,725.7
392.298,38.4,1.7,725.1
397.840,35.6,-2.6,726.1
403.422,23.7,-7.7,724.2
408.963,22.2,-2.5,726.0
414.514,26.1,-3.5,728.8
420.017,27.4,-3.6,728.1
425.630,25.2,-12.4,726.4
431.185,25.7,-8.2,730.2
436.734,25.8,-13.4,729.5
442.242,28.5,-10.9,730.5
447.865,29.9,-7.7,729.6
453.375,29.1,-6.5,729.4
458.955,32.1,-7.4,729.9
464.495,29.0,-10.0,727.9
470.049,32.5,-15.5,729.9
475.601,33.9,-13.8,728.0
481.159,31.5,-10.9,730.2
486.713,28.8,-12.0,733.1
492.272,32.1,-9.8,731.5
497.837,27.8,-13.4,730.9
503.380,28.3,-12.5,733.3
508.947,32.8,-8.6,731.7
514.472,46.2,-24.1,733.7
